time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-24 00:00:00+00:00,5,4,86,6
2023-07-25 00:00:00+00:00,3,2,52,7
2023-07-26 00:00:00+00:00,3,2,50,6
2023-07-27 00:00:00+00:00,3,2,71,10
2023-07-28 00:00:00+00:00,5,3,40,6
2023-07-29 00:00:00+00:00,3,2,38,4
2023-07-30 00:00:00+00:00,3,2,17,3
2023-07-31 00:00:00+00:00,4,3,19,5
2023-08-01 00:00:00+00:00,3,2,41,8
2023-08-02 00:00:00+00:00,3,2,64,5
2023-08-03 00:00:00+00:00,3,2,58,4
2023-08-04 00:00:00+00:00,3,2,21,5
2023-08-05 00:00:00+00:00,4,3,29,4
2023-08-06 00:00:00+00:00,4,3,19,5
2023-08-07 00:00:00+00:00,6,5,49,5
2023-08-08 00:00:00+00:00,3,2,39,6
2023-08-09 00:00:00+00:00,3,2,32,5
2023-08-10 00:00:00+00:00,3,2,116,15
2023-08-11 00:00:00+00:00,4,3,11,4
2023-08-12 00:00:00+00:00,3,2,15,3
2023-08-13 00:00:00+00:00,3,2,74,6
2023-08-14 00:00:00+00:00,4,3,84,10
2023-08-15 00:00:00+00:00,4,3,89,6
2023-08-16 00:00:00+00:00,3,2,189,9
2023-08-17 00:00:00+00:00,3,2,113,13
2023-08-18 00:00:00+00:00,3,2,108,10
2023-08-19 00:00:00+00:00,3,2,144,10
2023-08-20 00:00:00+00:00,3,2,106,9
2023-08-21 00:00:00+00:00,6,4,236,22
2023-08-22 00:00:00+00:00,3,2,301,27
2023-08-23 00:00:00+00:00,3,2,352,30
2023-08-24 00:00:00+00:00,3,2,273,27
2023-08-25 00:00:00+00:00,3,2,629,28
2023-08-26 00:00:00+00:00,3,2,388,30
2023-08-27 00:00:00+00:00,3,2,604,22
2023-08-28 00:00:00+00:00,7,5,937,40
2023-08-29 00:00:00+00:00,3,2,822,50
2023-08-30 00:00:00+00:00,5,3,94,16
2023-08-31 00:00:00+00:00,3,2,214,20
2023-09-01 00:00:00+00:00,3,2,247,24
2023-09-02 00:00:00+00:00,1,1,238,19
2023-09-03 00:00:00+00:00,2,2,481,43
2023-09-04 00:00:00+00:00,2,2,992,44
2023-09-05 00:00:00+00:00,2,2,1178,61
2023-09-06 00:00:00+00:00,1,1,20,6
2023-09-07 00:00:00+00:00,1,1,3,2
2023-09-08 00:00:00+00:00,1,1,5,1
2023-09-09 00:00:00+00:00,1,1,5,2
2023-09-10 00:00:00+00:00,1,1,5,2
2023-09-11 00:00:00+00:00,2,2,0,0
2023-09-12 00:00:00+00:00,1,1,4,4
2023-09-13 00:00:00+00:00,5,2,4,4
2023-09-14 00:00:00+00:00,4,2,2,1
2023-09-15 00:00:00+00:00,1,1,2,2
2023-09-16 00:00:00+00:00,1,1,22,2
2023-09-17 00:00:00+00:00,4,2,0,0
2023-09-18 00:00:00+00:00,3,3,1,1
2023-09-19 00:00:00+00:00,1,1,19,2
2023-09-20 00:00:00+00:00,1,1,2,1
2023-09-21 00:00:00+00:00,3,2,0,0
2023-09-22 00:00:00+00:00,1,1,19,1
2023-09-23 00:00:00+00:00,1,1,1,1
2023-09-24 00:00:00+00:00,1,1,2,1
2023-09-25 00:00:00+00:00,2,2,3,2
2023-09-26 00:00:00+00:00,1,1,3,1
2023-09-27 00:00:00+00:00,1,1,3,2
2023-09-28 00:00:00+00:00,1,1,0,0
2023-09-29 00:00:00+00:00,4,3,19,2
2023-09-30 00:00:00+00:00,1,1,36,2
2023-10-01 00:00:00+00:00,2,2,0,0
2023-10-02 00:00:00+00:00,2,2,1,1
2023-10-03 00:00:00+00:00,1,1,4,2
2023-10-04 00:00:00+00:00,1,1,2,1
2023-10-05 00:00:00+00:00,5,2,0,0
2023-10-06 00:00:00+00:00,2,2,3,2
2023-10-07 00:00:00+00:00,6,3,0,0
2023-10-08 00:00:00+00:00,1,1,0,0
2023-10-09 00:00:00+00:00,4,3,0,0
2023-10-10 00:00:00+00:00,3,2,8,2
